DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,IT,2017,174933,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,IT,2018,172553,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,IT,2019,172183,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,IT,2020,118298,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,IT,2021,151875,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,LI,2013,468,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,LI,2014,465,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,LI,2015,445,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,LI,2016,434,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,LI,2017,436,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,LI,2018,478,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,LI,2019,509,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,LT,2013,3391,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,LT,2014,3256,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,LT,2015,3031,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,LT,2016,3186,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,LT,2017,3051,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,LT,2018,2925,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,LT,2019,3189,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,LT,2020,2826,
