DATAFLOW,LAST UPDATE,freq,unit,tra_infr,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,FI,2012,13,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,FI,2013,8,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,FI,2014,8,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,FI,2015,6,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,FI,2016,7,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,FI,2017,8,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,FI,2018,5,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,FI,2019,6,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,FI,2020,9,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,FI,2021,8,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,FR,2012,222,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,FR,2013,238,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,FR,2014,220,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,FR,2015,297,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,FR,2016,267,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,FR,2017,281,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,FR,2018,268,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,FR,2019,260,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,FR,2020,196,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,FR,2021,243,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,HR,2012,42,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,HR,2013,38,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,HR,2014,22,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,HR,2015,16,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,HR,2016,34,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,HR,2017,22,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,HR,2018,28,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,HR,2019,18,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,HR,2020,19,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,HR,2021,36,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,HU,2012,31,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,HU,2013,30,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,HU,2014,27,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,HU,2015,34,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,HU,2016,37,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,HU,2017,34,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,HU,2018,46,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,HU,2019,48,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,HU,2020,35,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,HU,2021,58,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,IE,2012,5,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,IE,2013,8,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,IE,2014,5,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,IE,2015,7,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,IE,2016,6,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,IE,2017,4,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,IE,2018,9,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,IT,2012,330,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,IT,2013,321,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,IT,2014,287,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,IT,2015,305,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,IT,2016,274,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,IT,2017,296,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,IT,2018,330,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,IT,2019,310,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,IT,2020,195,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,IT,2021,246,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,LT,2016,37,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,LT,2017,12,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,LT,2018,4,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,LT,2019,6,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,LT,2020,4,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,LT,2021,10,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,LU,2012,7,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,LU,2013,6,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,LU,2014,3,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,LU,2015,3,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,LU,2016,5,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,LU,2017,3,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,LU,2018,9,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,LU,2019,3,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,LU,2020,6,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,LU,2021,1,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,NL,2012,68,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,NL,2013,57,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,NL,2014,57,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,NL,2015,79,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,NL,2016,77,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,NL,2017,82,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,NL,2018,76,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,NL,2019,75,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,NL,2020,55,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,NL,2021,47,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,PL,2012,44,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,PL,2013,40,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,PL,2014,56,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,PL,2015,61,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,PL,2016,50,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,PL,2017,70,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,PL,2018,52,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,PL,2019,70,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,PL,2020,55,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,PL,2021,74,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,PT,2012,58,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,PT,2013,44,
